Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Chap27/ScanContractStEph.rs                      60                 1    98.33%           3                 0   100.00%          25                 1    96.00%           0                 0         -
Chap28/MaxContigSubSumBruteStEph.rs              37                 2    94.59%           2                 0   100.00%          22                 2    90.91%           0                 0         -
Chap28/MaxContigSubSumDivConMtEph.rs            114                 5    95.61%           8                 0   100.00%          64                 5    92.19%           0                 0         -
Chap28/MaxContigSubSumDivConOptMtEph.rs          89                 3    96.63%           5                 0   100.00%          39                 3    92.31%           0                 0         -
Chap28/MaxContigSubSumDivConOptStEph.rs          74                 3    95.95%           3                 0   100.00%          32                 3    90.62%           0                 0         -
Chap28/MaxContigSubSumDivConStEph.rs             90                 5    94.44%           4                 0   100.00%          51                 5    90.20%           0                 0         -
Chap28/MaxContigSubSumOptMtEph.rs                56                 0   100.00%           1                 0   100.00%          28                 0   100.00%           0                 0         -
Chap28/MaxContigSubSumOptStEph.rs                55                 0   100.00%           1                 0   100.00%          28                 0   100.00%           0                 0         -
Chap28/MaxContigSubSumReducedStEph.rs            33                 2    93.94%           2                 0   100.00%          21                 2    90.48%           0                 0         -
Chap35/OrderStatSelectMtEph.rs                   88                 4    95.45%           3                 0   100.00%          53                 2    96.23%           0                 0         -
Chap35/OrderStatSelectMtPer.rs                   90                 4    95.56%           3                 0   100.00%          53                 2    96.23%           0                 0         -
Chap35/OrderStatSelectStEph.rs                   90                 4    95.56%           3                 0   100.00%          53                 2    96.23%           0                 0         -
Chap35/OrderStatSelectStPer.rs                   90                 4    95.56%           3                 0   100.00%          53                 2    96.23%           0                 0         -
Chap36/QuickSortMt.rs                           255                 2    99.22%          15                 0   100.00%         140                 2    98.57%           0                 0         -
Chap36/QuickSortMtSlice.rs                      246                 2    99.19%          18                 0   100.00%         143                 2    98.60%           0                 0         -
Chap36/QuickSortSt.rs                           271                 3    98.89%          10                 0   100.00%         129                 2    98.45%           0                 0         -
Chap37/AVLTreeSeq.rs                            504               351    30.36%          39                23    41.03%         271               180    33.58%           0                 0         -
Chap37/AVLTreeSeqMtPer.rs                       358               248    30.73%          30                14    53.33%         170               100    41.18%           0                 0         -
Chap37/AVLTreeSeqStEph.rs                       450                55    87.78%          34                 2    94.12%         237                20    91.56%           0                 0         -
Chap37/AVLTreeSeqStPer.rs                       379                97    74.41%          31                 3    90.32%         178                27    84.83%           0                 0         -
Chap37/BSTAVLMtEph.rs                           269                44    83.64%          26                 4    84.62%         164                27    83.54%           0                 0         -
Chap37/BSTAVLStEph.rs                           251                15    94.02%          27                 1    96.30%         147                15    89.80%           0                 0         -
Chap37/BSTBBAlphaMtEph.rs                       273                 9    96.70%          27                 2    92.59%         153                 6    96.08%           0                 0         -
Chap37/BSTBBAlphaStEph.rs                       308               114    62.99%          37                16    56.76%         157                47    70.06%           0                 0         -
Chap37/BSTPlainMtEph.rs                         233                 8    96.57%          21                 1    95.24%         127                 5    96.06%           0                 0         -
Chap37/BSTPlainStEph.rs                         114                13    88.60%          17                 2    88.24%          66                 8    87.88%           0                 0         -
Chap37/BSTRBMtEph.rs                            319                54    83.07%          28                 4    85.71%         197                36    81.73%           0                 0         -
Chap37/BSTRBStEph.rs                            277               101    63.54%          28                 8    71.43%         163                62    61.96%           0                 0         -
Chap37/BSTSetAVLMtEph.rs                        337               114    66.17%          49                24    51.02%         159                31    80.50%           0                 0         -
Chap37/BSTSetBBAlphaMtEph.rs                    337               114    66.17%          49                24    51.02%         159                31    80.50%           0                 0         -
Chap37/BSTSetPlainMtEph.rs                      443               220    50.34%          52                27    48.08%         238               110    53.78%           0                 0         -
Chap37/BSTSetRBMtEph.rs                         337               114    66.17%          49                24    51.02%         159                31    80.50%           0                 0         -
Chap37/BSTSetSplayMtEph.rs                      337               114    66.17%          49                24    51.02%         159                31    80.50%           0                 0         -
Chap37/BSTSplayMtEph.rs                         201                36    82.09%          23                 4    82.61%         116                18    84.48%           0                 0         -
Chap37/BSTSplayStEph.rs                         173                53    69.36%          23                 7    69.57%          94                28    70.21%           0                 0         -
Chap38/BSTParaMtEph.rs                          414                 8    98.07%          40                 0   100.00%         185                 2    98.92%           0                 0         -
Chap38/BSTParaStEph.rs                          229                 7    96.94%          21                 1    95.24%         102                 5    95.10%           0                 0         -
Chap39/BSTParaTreapMtEph.rs                     532                18    96.62%          46                 1    97.83%         233                 8    96.57%           0                 0         -
Chap39/BSTSetTreapMtEph.rs                      337               114    66.17%          49                24    51.02%         159                31    80.50%           0                 0         -
Chap39/BSTTreapMtEph.rs                         257                41    84.05%          27                 4    85.19%         155                24    84.52%           0                 0         -
