Filename                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Chap27/ScanContractMtEph.rs                        88                 1    98.86%           3                 0   100.00%          43                 1    97.67%           0                 0         -
Chap27/ScanContractStEph.rs                        60                 1    98.33%           3                 0   100.00%          25                 1    96.00%           0                 0         -
Chap28/MaxContigSubSumBruteStEph.rs                37                 2    94.59%           2                 0   100.00%          22                 2    90.91%           0                 0         -
Chap28/MaxContigSubSumDivConMtEph.rs              114                 5    95.61%           8                 0   100.00%          64                 5    92.19%           0                 0         -
Chap28/MaxContigSubSumDivConOptMtEph.rs            89                 3    96.63%           5                 0   100.00%          39                 3    92.31%           0                 0         -
Chap28/MaxContigSubSumDivConOptStEph.rs            74                 3    95.95%           3                 0   100.00%          32                 3    90.62%           0                 0         -
Chap28/MaxContigSubSumDivConStEph.rs               90                 5    94.44%           4                 0   100.00%          51                 5    90.20%           0                 0         -
Chap28/MaxContigSubSumOptMtEph.rs                  56                 0   100.00%           1                 0   100.00%          28                 0   100.00%           0                 0         -
Chap28/MaxContigSubSumOptStEph.rs                  55                 0   100.00%           1                 0   100.00%          28                 0   100.00%           0                 0         -
Chap28/MaxContigSubSumReducedStEph.rs              33                 2    93.94%           2                 0   100.00%          21                 2    90.48%           0                 0         -
Chap35/OrderStatSelectMtEph.rs                     88                 4    95.45%           3                 0   100.00%          53                 2    96.23%           0                 0         -
Chap35/OrderStatSelectMtPer.rs                     90                 4    95.56%           3                 0   100.00%          53                 2    96.23%           0                 0         -
Chap35/OrderStatSelectStEph.rs                     90                 4    95.56%           3                 0   100.00%          53                 2    96.23%           0                 0         -
Chap35/OrderStatSelectStPer.rs                     90                 4    95.56%           3                 0   100.00%          53                 2    96.23%           0                 0         -
Chap36/QuickSortMt.rs                             255                 2    99.22%          15                 0   100.00%         140                 2    98.57%           0                 0         -
Chap36/QuickSortMtSlice.rs                        246                 2    99.19%          18                 0   100.00%         143                 2    98.60%           0                 0         -
Chap36/QuickSortSt.rs                             271                 3    98.89%          10                 0   100.00%         129                 2    98.45%           0                 0         -
Chap37/AVLTreeSeq.rs                              501                53    89.42%          40                 1    97.50%         274                18    93.43%           0                 0         -
