UNTESTED FUNCTIONS: 2907 functions, 82683 uncovered regions
======================================================================

All Untested Functions (sorted by impact):

Rank   Regions  Insts  Module                                             Function                      
109    4        1      Chap51::BottomUpDPMtPer                            t_length                      
110    4        1      Chap51::BottomUpDPStEph                            set_s                         
111    4        1      Chap51::BottomUpDPStEph                            set_t                         
112    4        1      Chap51::BottomUpDPStEph                            is_empty                      
113    4        1      Chap51::BottomUpDPStEph                            s_length                      
114    4        1      Chap51::BottomUpDPStEph                            t_length                      
115    4        1      Chap51::BottomUpDPStPer                            is_empty                      
116    4        1      Chap51::BottomUpDPStPer                            s_length                      
117    4        1      Chap51::BottomUpDPStPer                            t_length                      
118    4        1      Chap56::SSSPResultStEphInt                         is_reachable                  
119    4        1      Chap56::SSSPResultStPerInt                         is_reachable                  
120    4        1      Chap56::SSSPResultStEphFloat                       is_reachable                  
121    4        1      Chap56::SSSPResultStPerFloat                       is_reachable                  
122    4        1      Chap44::Example44_1                                search_fun                    
123    4        1      Chap44::Example44_1                                search_club                   
124    4        1      Chap44::Example44_1                                search_food                   
125    4        1      Chap44::Example44_1                                search_chess                  
126    4        1      Chap44::Example44_1                                get_all_words                 
127    4        1      Chap44::Example44_1                                get_word_count                
128    4        1      Chap44::DocumentIndex                              word_count                    
129    4        1      Chap47::FlatHashTable                              load_and_size                 
130    4        1      Chap47::AdvancedDoubleHashing                      new                           
131    4        1      Chap47::HashFunctionTraits                         shrink_size                   
132    4        1      Chap47::HashExamples                               exercise_47_6_higher_order    
133    4        1      Chap47::HashExamples                               exercise_47_2_size_reduction  
134    4        1      Chap47::HashExamples                               exercise_47_1_nested_implementation
135    4        1      Chap47::HashExamples                               exercise_47_3_resize_implementation
136    4        1      Chap47::HashExamples                               exercise_47_7_complete_implementation
137    4        1      Chap18::ArraySeqMtEph                              eq                            
138    4        1      Chap37::AVLTreeSeqStEph                            nth                           
139    4        1      Chap37::AVLTreeSeqStEph                            length                        
140    4        1      Chap37::AVLTreeSeqStPer                            length                        
141    4        1      Chap37::AVLTreeSeqStPer                            from_vec                      
142    4        1      Chap41::ArraySetStEph                              size                          
143    4        1      Chap41::AVLTreeSetStEph                            size                          
144    4        1      Chap41::AVLTreeSetStPer                            size                          
145    4        1      Chap42::TableMtEph                                 size                          
146    4        1      Chap42::TableMtEph                                 singleton                     
147    4        1      Chap42::TableStEph                                 size                          
148    4        1      Chap42::TableStPer                                 size                          
149    4        1      Chap42::TableStPer                                 collect                       
150    4        1      Chap43::OrderedSetStPer                            size                          
151    4        1      Chap43::OrderedSetStPer                            union                         
152    4        1      Chap43::OrderedSetStPer                            to_seq                        
153    4        1      Chap45::LeftistHeapPQ                              is_empty                      
154    4        1      Chap41::ArraySetEnumMtEph                          new                           
155    4        1      Chap41::ArraySetEnumMtEph                          empty                         
156    4        1      Chap44::DocumentIndex                              size                          
157    4        1      Chap52::AdjSeqGraphMtPer                           num_vertices                  
158    4        1      Chap52::AdjSeqGraphStEph                           num_vertices                  
159    4        1      Chap52::AdjSeqGraphStPer                           num_vertices                  
160    4        1      Chap52::AdjSeqGraphStPer                           out_neighbors                 
161    4        1      Chap57::DijkstraStEphInt                           partial_cmp                   
162    4        1      Chap57::DijkstraStEphFloat                         partial_cmp                   
163    4        1      Chap50::Probability                                partial_cmp                   
164    4        1      Chap47::HashFunctionTraits                         family_description            
165    4        1      Chap50::MatrixChainStEph                           clear_memo                    
166    4        1      Chap50::MatrixChainStEph                           num_matrices                  
167    4        1      Chap50::MatrixChainStEph                           memo_size                     
168    4        1      Chap50::MatrixChainStPer                           num_matrices                  
169    5        2      Chap42::TableStEph                                 insert_vertex                 
170    5        1      Chap37::AVLTreeSeqStEph                            h                             
171    5        1      Chap45::BinaryHeapPQ                               parent                        
172    5        1      Chap51::TopDownDPStEph                             is_memoized                   
173    5        1      Chap51::TopDownDPStPer                             is_memoized                   
174    5        1      Chap56::AllPairsResultStEphInt                     is_reachable                  
175    5        1      Chap56::AllPairsResultStPerInt                     is_reachable                  
176    5        1      Chap56::AllPairsResultStEphFloat                   is_reachable                  
177    5        1      Chap56::AllPairsResultStPerFloat                   is_reachable                  
178    5        1      Chap44::DocumentIndex                              or                            
179    5        1      Chap44::DocumentIndex                              and                           
180    5        1      Chap44::DocumentIndex                              and_not                       
181    5        1      Chap47::AdvancedQuadraticProbing                   new_with_coefficients         
182    5        1      Chap47::HashFunctionTraits                         load_factor                   
183    5        1      Chap21::Exercise21_7                               is_vowel                      
184    5        1      Chap18::ArraySeqMtEph                              clone                         
185    5        1      Chap37::AVLTreeSeqStPer                            singleton                     
186    5        1      Chap43::OrderedSetStPer                            join                          
187    5        1      Chap28::MaxContigSubSumDivConOptMtEph              max_contig_sub_sum_divcon_opt_mt
188    5        1      Chap28::MaxContigSubSumDivConOptStEph              max_contig_sub_sum_divcon_opt 
189    5        1      Chap41::ArraySetEnumMtEph                          find                          
190    5        1      Chap44::DocumentIndex                              query_and_not                 
191    5        1      Chap44::DocumentIndex                              query_or                      
192    5        1      Chap44::DocumentIndex                              query_and                     
193    5        1      Chap52::AdjSeqGraphMtPer                           out_degree                    
194    5        1      Chap52::AdjSeqGraphMtPer                           out_neighbors                 
195    5        1      Chap52::AdjSeqGraphStEph                           out_degree                    
196    5        1      Chap52::AdjSeqGraphStEph                           out_neighbors                 
197    5        1      Chap52::AdjSeqGraphStPer                           out_degree                    
198    5        1      Chap50::Probability                                eq                            
199    5        1      Chap57::DijkstraStEphInt                           cmp                           
200    5        1      Chap57::DijkstraStEphFloat                         cmp                           
201    5        1      Chap47::HashFunctionTraits                         fmt                           
202    6        2      Chap47::HashFunctionTraits                         default                       
203    6        2      Chap05::RelationStEph                              FromVec                       
204    6        2      Chap18::ArraySeqMtPer                              is_singleton                  
205    6        2      Chap18::ArraySeq                                   from_vec                      
206    6        2      Chap47::NestedHashTable                            size                          
207    6        2      Chap47::NestedHashTable                            is_empty                      
208    6        2      Chap47::AdvancedLinearProbing                      new_without_clustering        
209    6        2      Chap47::AdvancedLinearProbing                      is_clustering_problematic     
210    6        2      Chap53::PQMinMtEph                                 new                           
211    6        2      Chap53::PQMinMtPer                                 new                           
212    6        2      Chap53::PQMinStEph                                 new                           
213    6        2      Chap53::PQMinStPer                                 new                           
214    6        2      Chap57::StackStEph                                 new                           
215    6        2      Chap57::StackStEph                                 peek                          
216    6        2      Chap37::AVLTreeSeq                                 is_tree_empty                 
217    6        2      Chap37::AVLTreeSeq                                 new_root                      
218    6        2      Chap17::MathSeq                                    iter                          
219    6        2      Chap17::MathSeq                                    from_vec                      
220    6        2      Chap17::MathSeq                                    iter_mut                      
221    6        2      Chap06::UnDirGraphMtEph                            arcs                          
222    6        2      Chap06::UnDirGraphStEph                            arcs                          
223    6        2      Chap47::AdvancedQuadraticProbing                   get_coefficients              
224    6        2      Chap47clean::FlatHashTable                         new                           
225    6        2      Chap47clean::VecChainedHashTable                   new                           
226    6        2      Chap47clean::StructChainedHashTable                default                       
227    6        2      Chap47clean::LinkedListChainedHashTable            new                           
228    6        2      Chap05::MappingStEph                               empty                         
229    6        2      Chap05::MappingStEph                               eq                            
230    6        2      Chap05::RelationStEph                              empty                         
231    6        2      Chap05::RelationStEph                              FromSet                       
232    6        2      Chap05::RelationStEph                              eq                            
233    6        2      Chap06::DirGraphMtEph                              arcs                          
234    6        2      Chap06::DirGraphMtEph                              empty                         
235    6        2      Chap06::DirGraphMtEph                              FromSets                      
