UNTESTED FUNCTIONS: 2907 functions, 82683 uncovered regions
======================================================================

All Untested Functions (sorted by impact):

Rank   Regions  Insts  Module                                             Function                      
1235   14       2      Chap45::SortedListPQ                               find_max                      
1236   14       2      Chap45::BalancedTreePQ                             find_max                      
1237   14       2      Chap47::FlatHashTable                              probe_statistics              
1238   14       2      Chap05::RelationStEph                              mem                           
1239   14       2      Chap06::DirGraphMtEph                              NG                            
1240   14       2      Chap06::DirGraphMtEph                              Degree                        
1241   14       2      Chap06::DirGraphMtEph                              Neighbor                      
1242   14       2      Chap06::DirGraphStEph                              NG                            
1243   14       2      Chap06::DirGraphStEph                              Degree                        
1244   14       2      Chap06::DirGraphStEph                              Neighbor                      
1245   14       4      Chap18::ArraySeqMtPer                              nth                           
1246   14       2      Chap37::BSTRBMtEph                                 size                          
1247   14       2      Chap37::BSTRBMtEph                                 height                        
1248   14       2      Chap37::BSTAVLMtEph                                size                          
1249   14       2      Chap37::BSTPlainMtEph                              size                          
1250   14       2      Chap37::BSTSplayMtEph                              size                          
1251   14       2      Chap37::BSTSplayMtEph                              height                        
1252   14       2      Chap37::AVLTreeSeqMtPer                            set                           
1253   14       2      Chap37::AVLTreeSeqStPer                            set                           
1254   14       2      Chap37::BSTBBAlphaMtEph                            size                          
1255   14       2      Chap37::BSTBBAlphaMtEph                            height                        
1256   14       2      Chap38::BSTParaMtEph                               size                          
1257   14       2      Chap39::BSTTreapMtEph                              size                          
1258   14       2      Chap39::BSTTreapMtEph                              height                        
1259   14       2      Chap41::AVLTreeSetMtEph                            find                          
1260   14       2      Chap41::AVLTreeSetMtEph                            delete                        
1261   14       2      Chap41::AVLTreeSetMtEph                            insert                        
1262   14       2      Chap49::SubsetSumStEph                             fmt                           
1263   14       2      Chap49::SubsetSumStEph                             set                           
1264   14       2      Chap49::SubsetSumStPer                             fmt                           
1265   14       2      Chap49::MinEditDistStEph                           fmt                           
1266   14       2      Chap49::MinEditDistStEph                           set_source                    
1267   14       2      Chap49::MinEditDistStEph                           set_target                    
1268   14       2      Chap49::MinEditDistStPer                           fmt                           
1269   14       2      Chap50::OptBinSearchTreeMtEph                      from_key_probs                
1270   14       2      Chap50::OptBinSearchTreeMtEph                      new                           
1271   14       2      Chap52::EdgeSetGraphMtPer                          has_edge                      
1272   14       2      Chap52::EdgeSetGraphStEph                          delete_edge                   
1273   14       2      Chap52::EdgeSetGraphStEph                          has_edge                      
1274   14       2      Chap52::EdgeSetGraphStPer                          has_edge                      
1275   14       2      Chap47clean::ParaHashTableStEph                    loadAndSize                   
1276   14       2      Chap56::SSSPResultStPerInt                         new                           
1277   14       2      Chap56::SSSPResultStPerFloat                       new                           
1278   14       1      Chap06::WeightedDirGraphStEphInt                   in_neighbors_weighted         
1279   14       1      Chap06::WeightedDirGraphStEphInt                   out_neighbors_weighted        
1280   14       1      Chap06::WeightedDirGraphStEphFloat                 in_neighbors_weighted         
1281   14       1      Chap06::WeightedDirGraphStEphFloat                 out_neighbors_weighted        
1282   14       1      Chap56::SSSPResultStEphInt                         new                           
1283   14       1      Chap56::SSSPResultStEphFloat                       new                           
1284   14       1      Chap37::AVLTreeSeqStEph                            push_back                     
1285   14       1      Chap44::Example44_1                                count_fun_but_not_chess       
1286   14       1      Chap18::ArraySeqMtPer                              eq                            
1287   14       1      Chap50::MatrixChainMtPer                           optimal_cost                  
1288   15       3      Chap37::AVLTreeSeq                                 h                             
1289   15       5      Chap23::PrimTreeSeqSt                              singleton                     
1290   15       3      Chap18::ArraySeqMtEph                              length                        
1291   15       3      Chap43::OrderedTableStEph                          find                          
1292   15       3      Chap43::OrderedTableStPer                          find                          
1293   15       1      Chap37::AVLTreeSeqStPer                            nth_ref                       
1294   15       2      Chap50::MatrixChainMtPer                           from_dim_pairs                
1295   15       1      Chap56::AllPairsResultStEphInt                     set_distance                  
1296   15       1      Chap56::AllPairsResultStEphInt                     set_predecessor               
1297   15       1      Chap56::AllPairsResultStEphFloat                   set_distance                  
1298   15       1      Chap56::AllPairsResultStEphFloat                   set_predecessor               
1299   15       1      Chap47::ProbeSequenceExamples                      compare_probing_strategies    
1300   15       1      Chap42::TableStEph                                 domain                        
1301   15       1      Chap41::ArraySetEnumMtEph                          difference                    
1302   15       1      Chap41::ArraySetEnumMtEph                          intersection                  
1303   15       1      Chap41::ArraySetEnumMtEph                          union                         
1304   15       1      Chap52::AdjMatrixGraphMtPer                        new                           
1305   15       1      Chap52::AdjMatrixGraphStEph                        new                           
1306   15       1      Chap52::AdjMatrixGraphStPer                        new                           
1307   16       4      Chap18::ArraySeqStEph                              length                        
1308   16       4      Chap18::ArraySeqStPer                              length                        
1309   16       2      Chap38::BSTParaMtEph                               filter_parallel               
1310   16       2      Chap39::BSTParaTreapMtEph                          filter_parallel               
1311   16       2      Chap47::QuadraticProbing                           create_quadratic_probing_string_table
1312   16       2      Chap53::GraphSearchMtPer                           reachable                     
1313   16       2      Chap53::GraphSearchStEph                           reachable                     
1314   16       2      Chap53::GraphSearchStPer                           reachable                     
1315   16       2      Chap61::EdgeContractionStEph                       contract_round                
1316   16       2      Chap65::KruskalStEph                               verify_mst_size               
1317   16       2      Chap53::PQMinMtEph                                 find_min_priority             
1318   16       2      Chap53::PQMinMtPer                                 find_min_priority             
1319   16       2      Chap53::PQMinStEph                                 find_min_priority             
1320   16       2      Chap18::LinkedListStEph                            deflate                       
1321   16       4      Chap19::ArraySeqStEph                              map                           
1322   16       4      Chap19::ArraySeqStPer                              map                           
1323   16       2      Chap43::OrderedSetStEph                            filter                        
1324   16       6      Chap40::BSTReducedStEph                            reduced_value_link            
1325   16       4      Chap37::BSTPlainMtEph                              height                        
1326   16       4      Chap18::ArraySeq                                   length                        
1327   16       4      Chap18::ArraySeq                                   isEmpty                       
1328   16       4      Chap23::PrimTreeSeqSt                              length                        
1329   16       4      Chap37::BSTRBStEph                                 new                           
1330   16       4      Chap37::BSTAVLMtEph                                new                           
1331   16       4      Chap37::BSTSetRBMtEph                              iter_in_order                 
1332   16       4      Chap37::BSTSetRBMtEph                              size                          
1333   16       4      Chap37::BSTSetRBMtEph                              maximum                       
1334   16       4      Chap37::BSTSetRBMtEph                              minimum                       
1335   16       4      Chap37::BSTSetRBMtEph                              is_empty                      
1336   16       4      Chap37::BSTSplayMtEph                              new                           
1337   16       4      Chap37::BSTSetAVLMtEph                             iter_in_order                 
1338   16       4      Chap37::BSTSetAVLMtEph                             size                          
1339   16       4      Chap37::BSTSetAVLMtEph                             maximum                       
1340   16       4      Chap37::BSTSetAVLMtEph                             minimum                       
1341   16       4      Chap37::BSTSetAVLMtEph                             is_empty                      
1342   16       4      Chap37::BSTBBAlphaMtEph                            new                           
1343   16       4      Chap37::BSTSetPlainMtEph                           iter_in_order                 
1344   16       4      Chap37::BSTSetPlainMtEph                           size                          
1345   16       4      Chap37::BSTSetPlainMtEph                           maximum                       
1346   16       4      Chap37::BSTSetPlainMtEph                           minimum                       
1347   16       4      Chap37::BSTSetPlainMtEph                           is_empty                      
1348   16       4      Chap37::BSTSetSplayMtEph                           iter_in_order                 
1349   16       4      Chap37::BSTSetSplayMtEph                           size                          
1350   16       4      Chap37::BSTSetSplayMtEph                           maximum                       
1351   16       4      Chap37::BSTSetSplayMtEph                           minimum                       
1352   16       4      Chap37::BSTSetSplayMtEph                           is_empty                      
1353   16       4      Chap37::BSTSetBBAlphaMtEph                         iter_in_order                 
1354   16       4      Chap37::BSTSetBBAlphaMtEph                         size                          
1355   16       4      Chap37::BSTSetBBAlphaMtEph                         maximum                       
1356   16       4      Chap37::BSTSetBBAlphaMtEph                         minimum                       
1357   16       4      Chap37::BSTSetBBAlphaMtEph                         is_empty                      
1358   16       4      Chap39::BSTTreapStEph                              new                           
1359   16       4      Chap39::BSTSetTreapMtEph                           iter_in_order                 
1360   16       4      Chap39::BSTSetTreapMtEph                           size                          
1361   16       4      Chap39::BSTSetTreapMtEph                           maximum                       
1362   16       4      Chap39::BSTSetTreapMtEph                           minimum                       
1363   16       4      Chap39::BSTSetTreapMtEph                           is_empty                      
1364   16       4      Chap40::BSTSizeStEph                               new                           
1365   16       2      Chap37::BSTAVLMtEph                                update                        
1366   16       2      Chap37::BSTAVLStEph                                update                        
1367   16       4      Chap37::BSTBBAlphaStEph                            height                        
1368   16       4      Chap37::BSTBBAlphaStEph                            maximum                       
1369   16       4      Chap37::BSTBBAlphaStEph                            minimum                       
1370   16       2      Chap37::AVLTreeSeqStPer                            push_left                     
1371   16       2      Chap19::ArraySeqMtEphSlice                         from_box                      
1372   16       2      Chap47::FlatHashTable                              statistics                    
1373   16       2      Chap47::NestedHashTable                            _nested_hash_table_lit_type_checks
1374   16       2      Chap05::MappingStEph                               FromRelation                  
1375   16       2      Chap17::MathSeq                                    set                           
1376   16       3      Chap18::ArraySeqMtEph                              new                           
1377   16       3      Chap18::ArraySeqStEph                              new                           
1378   16       3      Chap18::ArraySeqStPer                              new                           
1379   16       2      Chap36::QuickSortSt                                quick_sort_st_first           
1380   16       2      Chap36::QuickSortSt                                quick_sort_st_random          
1381   16       2      Chap36::QuickSortSt                                quick_sort_st_median3         
1382   16       2      Chap37::AVLTreeSeq                                 set                           
1383   16       2      Chap37::BSTRBMtEph                                 maximum                       
1384   16       2      Chap37::BSTRBMtEph                                 minimum                       
1385   16       2      Chap37::BSTAVLMtEph                                insert                        
1386   16       2      Chap37::BSTAVLMtEph                                maximum                       
1387   16       2      Chap37::BSTAVLMtEph                                minimum                       
1388   16       2      Chap37::BSTSplayMtEph                              insert                        
1389   16       2      Chap37::BSTSplayMtEph                              maximum                       
1390   16       2      Chap37::BSTSplayMtEph                              minimum                       
1391   16       2      Chap37::AVLTreeSeqMtPer                            values_in_order               
1392   16       2      Chap37::AVLTreeSeqStEph                            set                           
1393   16       2      Chap37::BSTBBAlphaMtEph                            maximum                       
1394   16       2      Chap37::BSTBBAlphaMtEph                            minimum                       
1395   16       2      Chap39::BSTTreapMtEph                              maximum                       
1396   16       2      Chap39::BSTTreapMtEph                              minimum                       
1397   16       2      Chap39::BSTTreapStEph                              insert                        
1398   16       2      Chap40::BSTSizeStEph                               insert                        
1399   16       2      Chap41::AVLTreeSetMtEph                            clone                         
1400   16       2      Chap43::OrderedSetMtEph                            rank                          
1401   16       2      Chap43::OrderedSetMtEph                            delete                        
1402   16       2      Chap43::OrderedSetStEph                            difference                    
1403   16       2      Chap43::OrderedSetStEph                            intersection                  
1404   16       2      Chap43::OrderedSetStEph                            first                         
1405   16       2      Chap43::OrderedSetStEph                            union                         
1406   16       2      Chap43::OrderedTableMtEph                          first_key                     
1407   16       2      Chap43::OrderedTableStEph                          first_key                     
1408   16       2      Chap43::OrderedTableStPer                          first_key                     
1409   16       2      Chap43::AugOrderedTableMtEph                       difference                    
1410   16       2      Chap43::AugOrderedTableMtEph                       restrict                      
1411   16       2      Chap43::AugOrderedTableMtEph                       subtract                      
1412   16       2      Chap43::AugOrderedTableMtEph                       singleton                     
1413   16       2      Chap43::AugOrderedTableStEph                       difference                    
1414   16       2      Chap43::AugOrderedTableStEph                       restrict                      
1415   16       2      Chap43::AugOrderedTableStEph                       subtract                      
1416   16       2      Chap43::AugOrderedTableStEph                       singleton                     
1417   16       2      Chap43::AugOrderedTableStPer                       singleton                     
1418   16       2      Chap47::DoubleHashing                              strategy_name                 
1419   16       2      Chap49::MinEditDistMtEph                           new                           
1420   16       2      Chap49::MinEditDistMtPer                           new                           
1421   16       2      Chap50::OptBinSearchTreeStEph                      update_prob                   
1422   16       2      Chap50::OptBinSearchTreeStEph                      set_key_prob                  
1423   16       4      Chap50::OptBinSearchTreeStPer                      into_iter                     
1424   16       2      Chap52::AdjTableGraphStEph                         out_neighbors                 
1425   16       2      Chap52::AdjTableGraphStPer                         insert_vertex                 
1426   16       2      Chap52::AdjTableGraphStPer                         out_neighbors                 
1427   16       2      Chap47clean::ParaHashTableStEph                    createTable                   
1428   16       2      Chap51::TopDownDPMtEph                             insert_memo                   
1429   16       2      Chap52::AdjSeqGraphStEph                           set_neighbors                 
1430   16       3      Chap42::TableStPer                                 domain                        
1431   16       2      Chap45::HeapsortExample                            correctness_verification      
1432   16       2      Chap50::MatrixChainMtEph                           from_dim_pairs                
1433   16       1      Chap51::TopDownDPStPer                             med_memoized                  
1434   16       1      Chap51::BottomUpDPStEph                            compute_cell_value            
1435   16       1      Chap51::BottomUpDPStPer                            compute_cell_value            
1436   16       1      Chap47::ClusteringAnalysis                         calculate_double_hashing_score
1437   16       1      Chap47::ClusteringAnalysis                         calculate_quadratic_clustering_score
1438   16       1      Chap41::AVLTreeSetStEph                            to_seq                        
1439   16       1      Chap41::AVLTreeSetStPer                            to_seq                        
1440   16       1      Chap52::AdjMatrixGraphStEph                        set_edge                      
1441   16       1      Chap50::MatrixChainStPer                           optimal_cost                  
1442   17       5      Chap18::ArraySeqStEph                              nth                           
1443   17       5      Chap18::ArraySeqStPer                              nth                           
1444   17       1      Chap37::AVLTreeSeqStPer                            mk                            
1445   17       1      Chap41::AVLTreeSetStEph                            filter                        
1446   17       2      Chap42::TableStPer                                 map                           
1447   17       1      Chap47::AdvancedDoubleHashing                      generate_valid_h2_values      
1448   17       1      Chap51::BottomUpDPStEph                            med_bottom_up                 
1449   17       1      Chap56::AllPairsResultStPerInt                     set_distance                  
1450   17       1      Chap56::AllPairsResultStPerInt                     set_predecessor               
1451   17       1      Chap56::AllPairsResultStPerFloat                   set_distance                  
1452   17       1      Chap56::AllPairsResultStPerFloat                   set_predecessor               
1453   17       1      Chap47::AdvancedDoubleHashing                      validate_configuration        
1454   17       1      Chap28::MaxContigSubSumDivConStEph                 max_prefix_sum                
1455   17       1      Chap45::BalancedTreePQ                             delete_min                    
1456   17       1      Chap41::ArraySetEnumMtEph                          from_seq                      
1457   17       1      Chap52::AdjMatrixGraphMtPer                        num_edges                     
1458   17       1      Chap52::AdjMatrixGraphStEph                        num_edges                     
1459   17       1      Chap52::AdjMatrixGraphStPer                        num_edges                     
1460   17       1      Chap50::MatrixChainMtEph                           optimal_cost                  
1461   18       2      Chap12::Exercise12_1                               with_lock                     
1462   18       2      Chap37::BSTSetRBMtEph                              from_sorted_iter              
1463   18       2      Chap37::BSTSetAVLMtEph                             from_sorted_iter              
1464   18       2      Chap37::BSTSetPlainMtEph                           from_sorted_iter              
1465   18       2      Chap37::BSTSetSplayMtEph                           from_sorted_iter              
1466   18       2      Chap37::BSTSetBBAlphaMtEph                         from_sorted_iter              
1467   18       2      Chap38::BSTParaMtEph                               reduce_parallel               
1468   18       2      Chap39::BSTSetTreapMtEph                           from_sorted_iter              
1469   18       2      Chap39::BSTParaTreapMtEph                          reduce_parallel               
1470   18       2      Chap37::BSTPlainStEph                              max_node                      
1471   18       2      Chap37::BSTPlainStEph                              min_node                      
1472   18       6      Chap45::HeapsortExample                            is_sorted                     
1473   18       2      Chap53::PQMinMtEph                                 pq_min                        
1474   18       2      Chap53::PQMinMtPer                                 pq_min                        
1475   18       2      Chap53::PQMinStEph                                 pq_min                        
1476   18       2      Chap53::PQMinStPer                                 pq_min                        
1477   18       2      Chap53::GraphSearchMtPer                           graph_search                  
1478   18       2      Chap53::GraphSearchMtPer                           graph_search_multi            
1479   18       2      Chap53::GraphSearchStEph                           graph_search                  
1480   18       2      Chap53::GraphSearchStEph                           graph_search_multi            
1481   18       2      Chap53::GraphSearchStPer                           graph_search                  
1482   18       2      Chap53::GraphSearchStPer                           graph_search_multi            
1483   18       2      Chap61::EdgeContractionMtEph                       contract_round_mt             
1484   18       2      Chap37::BSTRBMtEph                                 height_rec                    
1485   18       2      Chap37::BSTRBStEph                                 height_rec                    
1486   18       2      Chap37::BSTAVLStEph                                height_rec                    
1487   18       2      Chap37::BSTSplayMtEph                              height_rec                    
1488   18       2      Chap37::BSTSplayStEph                              height_rec                    
1489   18       2      Chap37::BSTBBAlphaMtEph                            height_rec                    
1490   18       2      Chap39::BSTTreapMtEph                              height_rec                    
1491   18       2      Chap39::BSTTreapStEph                              height_rec                    
1492   18       2      Chap40::BSTSizeStEph                               height_rec                    
1493   18       2      Chap40::BSTKeyValueStEph                           height_rec                    
1494   18       2      Chap40::BSTReducedStEph                            height_rec                    
1495   18       2      Chap43::AugOrderedTableMtEph                       intersection                  
1496   18       2      Chap43::AugOrderedTableMtEph                       union                         
1497   18       2      Chap43::AugOrderedTableStEph                       intersection                  
1498   18       2      Chap43::AugOrderedTableStEph                       union                         
1499   18       4      Chap06::WeightedDirGraphMtEphFloat                 total_weight                  
1500   18       4      Chap06::WeightedDirGraphStEphFloat                 total_weight                  
1501   18       4      Chap06::WeightedUnDirGraphMtEphFloat               total_weight                  
1502   18       4      Chap06::WeightedUnDirGraphStEphFloat               total_weight                  
1503   18       4      Chap42::TableStEph                                 delete                        
1504   18       4      Chap42::TableStPer                                 restrict                      
1505   18       4      Chap42::TableStPer                                 subtract                      
1506   18       6      Chap43::OrderedTableMtEph                          join_key                      
1507   18       6      Chap43::OrderedTableStEph                          join_key                      
1508   18       6      Chap43::OrderedTableStPer                          join_key                      
1509   18       4      Chap52::AdjTableGraphMtPer                         has_edge                      
1510   18       5      Chap52::AdjTableGraphStEph                         insert_vertex                 
1511   18       2      Chap18::ArraySeqMtEph                              iter_cloned                   
1512   18       4      Chap18::ArraySeqMtPer                              singleton                     
1513   18       4      Chap18::LinkedListStEph                            singleton                     
1514   18       4      Chap18::LinkedListStPer                            singleton                     
1515   18       4      Chap18::ArraySeq                                   singleton                     
1516   18       4      Chap37::BSTRBMtEph                                 new                           
1517   18       2      Chap37::BSTSetRBMtEph                              rebuild_from_vec              
1518   18       2      Chap37::BSTSetAVLMtEph                             rebuild_from_vec              
1519   18       2      Chap37::BSTSetPlainMtEph                           rebuild_from_vec              
1520   18       2      Chap37::BSTSetSplayMtEph                           rebuild_from_vec              
1521   18       2      Chap37::BSTSetBBAlphaMtEph                         rebuild_from_vec              
1522   18       4      Chap39::BSTTreapMtEph                              new                           
1523   18       2      Chap39::BSTSetTreapMtEph                           rebuild_from_vec              
1524   18       4      Chap40::BSTKeyValueStEph                           new                           
1525   18       2      Chap37::AVLTreeSeq                                 contains_value                
1526   18       2      Chap37::BSTRBMtEph                                 max_link                      
1527   18       2      Chap37::BSTRBMtEph                                 min_link                      
1528   18       2      Chap37::BSTRBStEph                                 max_link                      
1529   18       2      Chap37::BSTRBStEph                                 min_link                      
1530   18       2      Chap37::BSTAVLMtEph                                max_link                      
1531   18       2      Chap37::BSTAVLMtEph                                min_link                      
1532   18       2      Chap37::BSTAVLStEph                                max_link                      
1533   18       2      Chap37::BSTAVLStEph                                min_link                      
1534   18       2      Chap37::BSTSplayMtEph                              max_link                      
1535   18       2      Chap37::BSTSplayMtEph                              min_link                      
1536   18       2      Chap37::BSTSplayStEph                              max_link                      
1537   18       2      Chap37::BSTSplayStEph                              min_link                      
1538   18       2      Chap37::AVLTreeSeqStEph                            contains_value                
1539   18       2      Chap37::BSTBBAlphaMtEph                            max_link                      
1540   18       2      Chap37::BSTBBAlphaMtEph                            min_link                      
1541   18       2      Chap37::BSTBBAlphaStEph                            max_link                      
1542   18       2      Chap37::BSTBBAlphaStEph                            min_link                      
1543   18       2      Chap39::BSTTreapMtEph                              max_link                      
1544   18       2      Chap39::BSTTreapMtEph                              min_link                      
1545   18       2      Chap39::BSTTreapStEph                              max_link                      
1546   18       2      Chap39::BSTTreapStEph                              min_link                      
1547   18       2      Chap40::BSTSizeStEph                               max_link                      
1548   18       2      Chap40::BSTSizeStEph                               min_link                      
1549   18       2      Chap40::BSTKeyValueStEph                           max_key_link                  
1550   18       2      Chap40::BSTKeyValueStEph                           min_key_link                  
1551   18       2      Chap12::Exercise12_5                               drain                         
1552   18       2      Chap37::AVLTreeSeqStEph                            push_left                     
1553   18       2      Chap40::BSTReducedStEph                            max_key_link                  
1554   18       2      Chap40::BSTReducedStEph                            min_key_link                  
1555   18       2      Chap37::AVLTreeSeq                                 push_left                     
1556   18       2      Chap19::ArraySeqMtEphSlice                         to_vec                        
1557   18       4      Chap23::BalBinTreeStEph                            is_leaf                       
1558   18       2      Chap47::AdvancedQuadraticProbing                   recommend_table_size          
1559   18       2      Chap47clean::FlatHashTable                         lookup                        
1560   18       4      Chap18::ArraySeqMtPer                              into_iter                     
1561   18       4      Chap18::ArraySeqStEph                              into_iter                     
1562   18       4      Chap18::ArraySeqStEph                              singleton                     
1563   18       4      Chap18::ArraySeqStPer                              singleton                     
1564   18       2      Chap19::ArraySeqMtEphSlice                         slice                         
1565   18       2      Chap37::BSTRBMtEph                                 find                          
1566   18       2      Chap37::BSTRBStEph                                 insert                        
1567   18       2      Chap37::BSTAVLMtEph                                find                          
1568   18       2      Chap37::BSTPlainMtEph                              in_order                      
1569   18       2      Chap37::BSTSplayMtEph                              find                          
1570   18       2      Chap37::BSTBBAlphaMtEph                            find                          
1571   18       2      Chap39::BSTTreapMtEph                              find                          
1572   18       2      Chap40::BSTSizeStEph                               select                        
1573   18       2      Chap40::BSTReducedStEph                            insert                        
1574   18       2      Chap43::OrderedSetMtEph                            insert                        
1575   18       2      Chap43::AugOrderedTableMtEph                       reduce_range                  
1576   18       2      Chap43::AugOrderedTableStEph                       reduce_range                  
1577   18       2      Chap43::AugOrderedTableStPer                       reduce_range                  
1578   18       2      Chap45::BinaryHeapPQ                               from_seq                      
1579   18       2      Chap45::LeftistHeapPQ                              fmt                           
1580   18       2      Chap49::SubsetSumMtEph                             set                           
1581   18       4      Chap49::SubsetSumStPer                             into_iter                     
1582   18       2      Chap49::MinEditDistMtEph                           set_source                    
1583   18       2      Chap49::MinEditDistMtEph                           set_target                    
1584   18       4      Chap50::OptBinSearchTreeMtPer                      eq                            
1585   18       2      Chap52::EdgeSetGraphMtPer                          delete_edge                   
1586   18       2      Chap52::AdjTableGraphStEph                         has_edge                      
1587   18       2      Chap52::AdjTableGraphStPer                         has_edge                      
1588   18       3      Chap12::Exercise12_1                               lock                          
1589   18       1      Chap37::AVLTreeSeqStPer                            rec                           
1590   18       2      Chap42::TableStEph                                 map                           
1591   18       4      Chap56::AllPairsResultStPerInt                     new                           
1592   18       4      Chap56::AllPairsResultStPerFloat                   new                           
1593   18       3      Chap21::Algorithm21_1                              points2d_tab_flat             
1594   18       3      Chap21::Algorithm21_5                              primes_bf                     
1595   18       1      Chap51::BottomUpDPStPer                            med_bottom_up                 
1596   18       1      Chap47::FlatHashTable                              create_table                  
1597   18       1      Chap18::ArraySeqMtPer                              update                        
1598   18       1      Chap41::AVLTreeSetStPer                            delete                        
1599   18       1      Chap43::OrderedSetStPer                            next                          
1600   18       1      Chap45::BinaryHeapPQ                               insert                        
1601   18       1      Chap41::ArraySetEnumMtEph                          to_seq                        
1602   18       1      Chap52::AdjSeqGraphMtPer                           has_edge                      
1603   18       1      Chap52::AdjSeqGraphStEph                           has_edge                      
1604   18       1      Chap52::AdjSeqGraphStPer                           has_edge                      
1605   18       1      Chap52::AdjMatrixGraphMtPer                        out_degree                    
1606   18       1      Chap52::AdjMatrixGraphStEph                        out_degree                    
1607   18       1      Chap52::AdjMatrixGraphStPer                        out_degree                    
1608   19       7      Chap37::AVLTreeSeqMtPer                            size                          
1609   19       1      Chap18::ArraySeqStEph                              insert_edge                   
1610   19       1      Chap18::ArraySeqStEph                              insert_vertex                 
1611   19       1      Chap37::AVLTreeSeqStEph                            nth_link                      
1612   19       1      Chap18::ArraySeqStEph                              filter                        
1613   19       1      Chap18::ArraySeqStPer                              filter                        
1614   19       1      Chap47::SeparateChaining                           create_table                  
1615   19       1      Chap51::BottomUpDPMtPer                            compute_cell_value_static     
1616   19       1      Chap28::MaxContigSubSumDivConMtEph                 max_prefix_sum                
1617   19       1      Chap28::MaxContigSubSumDivConMtEph                 max_suffix_sum                
1618   19       1      Chap28::MaxContigSubSumDivConStEph                 max_suffix_sum                
1619   19       1      Chap44::Example44_1                                doc_set_to_sorted_vec         
1620   19       1      Chap55::DFSStEph                                   dfs                           
1621   19       1      Chap41::AVLTreeSetStPer                            difference                    
1622   19       1      Chap43::OrderedSetStPer                            previous                      
1623   20       2      Chap19::ArraySeqMtEphSlice                         repeat_vec                    
1624   20       4      Chap63::ConnectivityStEph                          count_components_hof          
1625   20       2      Chap66::BoruvkaStEph                               boruvka_mst_with_seed         
1626   20       4      Chap41::AVLTreeSetMtEph                            difference                    
1627   20       4      Chap42::TableStEph                                 restrict                      
1628   20       4      Chap42::TableStEph                                 subtract                      
1629   20       4      Chap18::ArraySeqStEph                              update                        
1630   20       4      Chap19::ArraySeqMtEphSlice                         len                           
1631   20       4      Chap37::BSTSetRBMtEph                              find                          
1632   20       4      Chap37::BSTSetRBMtEph                              insert                        
1633   20       4      Chap37::BSTSetRBMtEph                              contains                      
1634   20       4      Chap37::BSTSetAVLMtEph                             find                          
1635   20       4      Chap37::BSTSetAVLMtEph                             insert                        
1636   20       4      Chap37::BSTSetAVLMtEph                             contains                      
1637   20       4      Chap37::BSTSetPlainMtEph                           find                          
1638   20       4      Chap37::BSTSetPlainMtEph                           insert                        
1639   20       4      Chap37::BSTSetPlainMtEph                           contains                      
1640   20       4      Chap37::BSTSetSplayMtEph                           find                          
1641   20       4      Chap37::BSTSetSplayMtEph                           insert                        
1642   20       4      Chap37::BSTSetSplayMtEph                           contains                      
1643   20       4      Chap37::BSTSetBBAlphaMtEph                         find                          
1644   20       4      Chap37::BSTSetBBAlphaMtEph                         insert                        
1645   20       4      Chap37::BSTSetBBAlphaMtEph                         contains                      
1646   20       2      Chap38::BSTParaMtEph                               min_key                       
1647   20       2      Chap38::BSTParaStEph                               min_key                       
1648   20       4      Chap39::BSTSetTreapMtEph                           find                          
1649   20       4      Chap39::BSTSetTreapMtEph                           insert                        
1650   20       4      Chap39::BSTSetTreapMtEph                           contains                      
1651   20       4      Chap40::BSTReducedStEph                            new                           
1652   20       2      Chap37::AVLTreeSeq                                 values_in_order               
1653   20       2      Chap37::BSTBBAlphaMtEph                            needs_rebuild                 
1654   20       2      Chap37::BSTBBAlphaStEph                            needs_rebuild                 
1655   20       4      Chap37::BSTBBAlphaStEph                            find                          
1656   20       4      Chap37::BSTBBAlphaStEph                            contains                      
1657   20       2      Chap45::SortedListPQ                               from_vec                      
1658   20       2      Chap45::BalancedTreePQ                             from_vec                      
1659   20       2      Chap45::UnsortedListPQ                             from_vec                      
1660   20       4      Chap05::SetStEph                                   mem                           
1661   20       2      Chap18::ArraySeqStEph                              _arrayseqstephs_macro_type_checks
1662   20       2      Chap44::DocumentIndex                              _document_collection_lit_type_checks
1663   20       2      Chap47clean::FlatHashTable                         delete                        
