================================================================================
UNTESTED FUNCTIONS: 2907 functions, 82683 uncovered regions
================================================================================

Module                                        Funcs    Insts    Regions   
Chap23::BalBinTreeStEph                       8        30       222       
Chap49::MinEditDistStPer                      9        24       220       
Chap59::JohnsonMtEphFloat                     5        16       217       
Chap52::EdgeSetGraphStPer                     13       30       216       
Chap23::PrimTreeSeqSt                         8        33       215       
Chap37::BSTPlainStEph                         16       32       214       
Chap50::MatrixChainMtPer                      13       23       212       
Chap59::JohnsonMtEphInt                       5        14       212       
Chap55::TopoSortStPer                         4        6        211       
Chap49::SubsetSumStEph                        11       26       200       
Chap51::BottomUpDPMtEph                       12       18       197       
Chap06::LabDirGraphStEph                      12       23       191       
Chap64::SpanTreeMtEph                         2        6        184       
Chap47clean::QuadProbFlatHashTable            5        10       182       
Chap47::AdvancedLinearProbing                 11       19       181       
Chap06::WeightedDirGraphStEphInt              9        16       181       
Chap61::VertexMatchingStEph                   2        4        180       
Chap35::OrderStatSelectMtPer                  1        6        180       
Chap35::OrderStatSelectStEph                  1        6        180       
Chap35::OrderStatSelectStPer                  1        6        180       
Chap51::BottomUpDPMtPer                       10       14       179       
Chap27::ScanContractMtEph                     1        6        176       
Chap35::OrderStatSelectMtEph                  1        6        176       
Chap41::ArraySetEnumMtEph                     13       16       174       
Chap12::Exercise12_5                          8        16       174       
Chap64::SpanTreeStEph                         2        6        174       
Chap49::SubsetSumStPer                        8        18       168       
Chap55::SCCStPer                              5        6        166       
Chap52::AdjMatrixGraphStPer                   9        10       163       
Chap50::MatrixChainStEph                      15       24       162       
Chap47clean::LinProbFlatHashTable             5        10       162       
Chap61::EdgeContractionStEph                  2        4        160       
Chap59::JohnsonStEphInt                       4        11       159       
Chap52::AdjSeqGraphStPer                      9        10       158       
Chap53::GraphSearchMtPer                      5        12       156       
Chap53::GraphSearchStEph                      5        12       156       
Chap53::GraphSearchStPer                      5        12       156       
Chap59::JohnsonStEphFloat                     4        11       155       
Chap55::TopoSortStEph                         4        6        154       
Chap51::TopDownDPStEph                        15       18       152       
Chap55::SCCStEph                              5        6        151       
Chap47clean::StructChainedHashTable           6        20       150       
Chap45::Example45_2                           1        1        149       
Chap05::MappingStEph                          12       27       148       
Chap47clean::LinkedListChainedHashTable       5        16       148       
Chap65::KruskalStEph                          3        8        144       
Chap56::PathWeightUtilsStEph                  4        4        142       
Chap56::PathWeightUtilsStPer                  4        4        142       
Chap52::AdjMatrixGraphStEph                   9        10       138       
Chap52::AdjSeqGraphStEph                      9        11       138       
Chap62::StarContractionStEph                  3        8        138       
Chap51::BottomUpDPStEph                       12       12       134       
Chap58::BellmanFordStEphInt                   2        2        133       
Chap50::MatrixChainStPer                      11       18       131       
Chap58::BellmanFordStEphFloat                 2        2        131       
Chap27::ReduceContractMtEph                   1        8        130       
Chap51::BottomUpDPStPer                       10       10       128       
Chap51::TopDownDPStPer                        13       13       128       
Chap47::DoubleHashing                         5        10       124       
Chap05::RelationStEph                         10       22       122       
Chap52::AdjSeqGraphMtPer                      7        8        120       
Chap47clean::VecChainedHashTable              5        18       120       
Chap27::ScanContractStEph                     1        6        120       
Chap56::AllPairsResultStEphInt                7        7        116       
Chap56::AllPairsResultStEphFloat              7        7        116       
Chap28::MaxContigSubSumDivConMtEph            4        8        114       
Chap52::AdjMatrixGraphMtPer                   7        7        112       
Chap47clean::FlatHashTable                    6        12       112       
Chap56::AllPairsResultStPerInt                7        10       111       
Chap56::AllPairsResultStPerFloat              7        10       111       
Chap57::DijkstraStEphFloat                    5        6        99        
Chap57::DijkstraStEphInt                      5        6        98        
Chap12::Exercise12_1                          6        15       98        
Chap62::StarPartitionStEph                    1        2        98        
